SourceID,SiteID,TimeSeriesID,Protocol,Latitude,Longitude,BioRealm,HydroBasin,Country,Region,Province,Waterbody,
6,S7998,G167,Electrofishing_backpack,-26.8512,152.9852,Australasia,5080070260,AUS,QUEENSLAND,CALOUNDRA - RAIL CORRIDOR,BLUEGUM CREEK,
6,S7999,G168,Electrofishing_backpack,-26.8775,153.0088,Australasia,5080070260,AUS,QUEENSLAND,CALOUNDRA - CALOUNDRA S.,COOCHIN CREEK,
6,S8000,G169,Electrofishing_backpack,-26.7725,153.038,Australasia,5080070260,AUS,QUEENSLAND,CALOUNDRA - RAIL CORRIDOR,MOOLOOLAH RIVER,
6,S8001,G170,Electrofishing_backpack,-26.7785,152.9452,Australasia,5080070260,AUS,QUEENSLAND,CALOUNDRA - RAIL CORRIDOR,SOUTH MOOLOOLAH RIVER,
6,S8002,G171,Electrofishing_backpack,-26.76274,152.9709,Australasia,5080070260,AUS,QUEENSLAND,CALOUNDRA - RAIL CORRIDOR,MOOLOOLAH RIVER,
6,S8037,G172,Electrofishing_backpack,-27.0929,152.8363,Australasia,5080070340,AUS,QUEENSLAND,CABOOLTURE - MIDWEST,CABOOLTURE RIVER,
6,S8038,G173,Electrofishing_backpack,-27.1098,152.8857,Australasia,5080070340,AUS,QUEENSLAND,CABOOLTURE - MIDWEST,CABOOLTURE RIVER,
6,S8039,G174,Electrofishing_backpack,-27.04482,152.8579,Australasia,5080070340,AUS,QUEENSLAND,CABOOLTURE - MIDWEST,WARARBA CREEK,
6,S8040,G175,Electrofishing_backpack,-27.1276,152.744,Australasia,5080070360,AUS,QUEENSLAND,PINE RIVERS BAL,NORTH PINE RIVER,
6,S8041,G176,Electrofishing_backpack,-27.3509,152.9341,Australasia,5080070360,AUS,QUEENSLAND,PINE RIVERS BAL,SOUTH PINE RIVER,
6,S8042,G177,Electrofishing_backpack,-27.24776,152.8357,Australasia,5080070360,AUS,QUEENSLAND,PINE RIVERS BAL,KOBBLE CREEK,
6,S8043,G178,Electrofishing_backpack,-27.3451,152.9117,Australasia,5080070360,AUS,QUEENSLAND,CENTRAL PINE WEST,CEDAR CREEK,
6,S8044,G179,Electrofishing_backpack,-27.21631,152.9434,Australasia,5080070360,AUS,QUEENSLAND,PINE RIVERS BAL,SIDELING CREEK,
6,S8045,G180,Electrofishing_backpack,-27.41626,153.0026,Australasia,5080070390,AUS,QUEENSLAND,ALDERLEY,KEDRON BROOK,
