"","SpecCode","Suporder","Order","Family","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","Type.of.illustration","Reference","Species"
"7219",236,"Teleostei","Salmoniformes","Salmonidae",150,3.956530893,0.467510023,0.20859375,0.424334804,0.81703125,0.421093263,0.244620095,0.124212585,3.076443168,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Salmo salar"
"7220",238,"Teleostei","Salmoniformes","Salmonidae",140,4.174222302,0.605609036,0.304057662,0.520692859,0.874308435,0.463962026,0.25498346,0.141035041,2.274147539,"Drawing","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Salmo trutta"
"7221",24223,"Teleostei","Cypriniformes","Cyprinidae",15,4.765808573,0.588105953,0.560084362,0.668828204,0.46941103,0.596379424,0.26483495,0.236006874,2.849697728,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Salmostoma acinaces"
"7222",15775,"Teleostei","Cypriniformes","Cyprinidae",18,4.792563325,0.67999024,0.5990551,0.821928993,0.825118581,0.500586563,0.185494543,0.173976133,2.320523439,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Salmostoma bacaila"
"7223",24226,"Teleostei","Cypriniformes","Cyprinidae",12,4.656419343,0.599572005,0.642727786,0.603449268,0.459018947,0.590828031,0.242645282,0.215948231,3.223053712,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Salmostoma boopis"
"7224",24284,"Teleostei","Cypriniformes","Cyprinidae",12,4.682049179,0.566465257,0.563927273,0.655198976,0.471672727,0.550209079,0.255927252,NA,2.864441606,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Salmostoma phulo"
"7225",24292,"Teleostei","Cypriniformes","Cyprinidae",15,4.631232089,0.558631275,0.454337117,0.533536553,0.546048404,0.501143109,0.275784344,0.201859654,3.361112698,"Photograph","Thailand Nature Explorer (http://www.siamensis.org/)","Salmostoma sardinella"
"7226",56256,"Teleostei","Salmoniformes","Salmonidae",NA,4.41135619,0.699844633,0.224484777,0.69466213,0.914322761,0.563056777,0.247370087,0.151070617,2.824122749,"Drawing","Atlas Russie","Salvelinus albus"
"7227",247,"Teleostei","Salmoniformes","Salmonidae",107,4.256032317,0.640026718,0.271921287,0.54224371,0.747663551,0.477158943,0.324259677,0.168286183,2.865442308,"Photograph","Web Museo della Fauna Europea (http://ittiofauna.org/)","Salvelinus alpinus"
"7228",47701,"Teleostei","Salmoniformes","Salmonidae",46.5,5.802712674,0.711251387,0.230768653,0.683118708,1.218939178,0.640828241,0.183230613,0.176132949,2.847219203,"Drawing","Atlas Russie","Salvelinus boganidae"
"7229",2690,"Teleostei","Salmoniformes","Salmonidae",103,4.751996437,0.542076294,0.358564628,0.474801947,1.013808079,0.571426299,0.231077599,0.140606588,2.636038268,"Photograph","Unpublished","Salvelinus confluentus"
"7230",47706,"Teleostei","Salmoniformes","Salmonidae",NA,4.595680517,0.661186084,0.239757132,0.639515841,0.953191732,0.524671959,0.339174309,0.166022987,3.457853219,"Drawing","Atlas Russie","Salvelinus czerskii"
"7231",47712,"Teleostei","Salmoniformes","Salmonidae",90,2.905587917,0.618923158,0.197008837,0.592910996,1.193736748,0.413678871,0.309513341,0.182266557,2.521221176,"Photograph","Atlas Russie","Salvelinus drjagini"
"7232",54196,"Teleostei","Salmoniformes","Salmonidae",24,4.575803277,0.659199768,0.414759502,0.642417381,0.652195648,0.366610477,0.35751962,0.198315248,3.240194404,"Photograph","Atlas Russie","Salvelinus elgyticus"
"7233",246,"Teleostei","Salmoniformes","Salmonidae",86,3.471882099,0.6354576,0.320154569,0.56764812,0.937220636,0.438863261,0.277230417,0.153272033,2.280604817,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Salvelinus fontinalis"
